,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_5_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,ProductType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
78,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-09-26,-0.44898079895461906,,83822.40419541087,0.44898079895461906,0.9252336448598131,1.5484016098513964,1.5613932008838904,1.961969504444982,1.0,-0.0,1.0,0.21212121212121213,0.27102803738317754,0.0,-0.42265937939608034,2.417663745859641,1.0,1.003685006210254
79,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-10-03,0.33729380530093217,,204974.3695845911,0.33729380530093217,0.9454545454545454,2.726685862696544,1.7527052225927195,2.456212246608344,1.0,0.0,1.0,0.2980769230769231,0.4,0.009615384615384616,0.1703325667944424,4.779076551917967,1.0,1.0925972405522395
80,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-10-10,,,0.0,,0.9181818181818182,,,,,,,0.0,0.0,0.0,,,,
81,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-10-17,0.15446433726869455,,503627.8395664173,0.15446433726869455,0.8909090909090909,4.9635916999242635,3.569016409766652,5.829206021812155,1.0,0.0,1.0,0.3979591836734694,0.44545454545454544,0.0,0.06901208234958661,17.715140228411247,1.0,1.7988186851187822
82,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-10-24,0.5203816005184426,,1220598.6827749587,0.5203816005184426,0.8108108108108109,1.5480598524223643,1.4352696566345033,1.0791002017627267,1.0,0.0,1.0,0.35555555555555557,0.7117117117117117,0.022222222222222223,0.3051917294944652,2.221883332835907,1.0,0.9221559107018493
83,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-10-31,0.38232510363941047,,675600.6116866721,0.38232510363941047,0.8272727272727273,1.4772714225163852,2.047308629002954,2.5403936741906294,1.0,0.0,1.0,0.23076923076923078,0.45454545454545453,0.01098901098901099,-0.22956758453110931,3.024430530697264,1.0,1.1649840576617878
84,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-11-07,-0.8732519782511536,,1210831.1488234017,0.8732519782511536,0.8256880733944955,0.17577488441270134,0.812712597003562,1.1244478568458,1.0,-0.0,1.0,0.2777777777777778,0.4954128440366973,0.0,4.796836383438203,0.14285446279904743,1.0,0.6718740296271128
85,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-11-14,0.9837748715243069,,36833688.42206044,0.9837748715243069,0.8256880733944955,0.01231731211586694,1.0088879051130275,1.0062791251378582,1.0,0.0,1.0,0.3333333333333333,0.5229357798165137,0.0,0.8987624293708794,0.01242678721720031,1.0,0.7512615840635597
86,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-11-19,0.07688852627800959,,2024567.734243647,0.07688852627800959,0.6422018348623854,5.128650638438856,8.323674520831453,8.662732337558515,1.0,0.0,1.0,0.4857142857142857,1.0,0.014285714285714285,0.02718457105559457,42.68921864541947,1.0,3.6196838756108685
87,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-11-21,0.9940587365131721,,27587503.331476077,0.9940587365131721,0.7064220183486238,0.012030518431701467,0.9889711316920415,0.981862646206888,1.0,0.0,1.0,0.35064935064935066,1.018348623853211,0.03896103896103896,0.9508527187937732,0.011897835428241764,1.0,0.7121022141447065
